"pass" "score_exam" "semester" "gender" "highest_education" "soc_eco_status" "age" "num_of_prev_attempts" "studied_credits" "disability" "wscore_tutor" "wscore_comp" "exercises"
1 47 "Sem1" "M" "Lower Than A Level" 7 23 0 60 "N" 49.6 16.77 896
1 60 "Sem1" "F" "HE Qualification" 11 38 0 70 "Y" 39.375 23.16 8131
1 40 "Sem1" "M" "HE Qualification" 5 24 0 160 "N" 40.925 11.23 1179
0 31 "Sem1" "F" "A Level or Equivalent" 5 29 0 60 "N" 34.05 13.33 4695
1 62 "Sem1" "M" "A Level or Equivalent" 7 37 0 90 "N" 50.975 17.67 1446
1 64 "Sem1" "M" "HE Qualification" 4 36 0 120 "N" 40.725 7.33 1059
1 60 "Sem1" "F" "HE Qualification" 2 38 0 60 "Y" 46.85 22 3329
1 44 "Sem1" "F" "A Level or Equivalent" 11 28 1 60 "N" 42.775 17.4 2220
1 82 "Sem1" "M" "HE Qualification" 3 31 1 60 "N" 59.475 19.03 736
1 53 "Sem1" "M" "HE Qualification" 9 28 1 90 "N" 47.525 20.48 1079
1 71 "Sem1" "M" "A Level or Equivalent" 4 34 0 60 "N" 67.55 20.27 1660
1 64 "Sem1" "M" "A Level or Equivalent" 11 36 0 60 "N" 43.85 21.03 706
1 40 "Sem1" "M" "Lower Than A Level" 7 27 0 60 "Y" 38.525 16.59 1545
1 69 "Sem1" "M" "A Level or Equivalent" 4 34 0 60 "N" 62.9 19.99 1998
1 64 "Sem1" "M" "Lower Than A Level" 2 36 0 60 "N" 53.15 18.6 3964
1 62 "Sem1" "F" "A Level or Equivalent" 11 37 0 60 "N" 56.175 19.46 3353
1 58 "Sem1" "F" "A Level or Equivalent" 9 41 0 60 "N" 50.6 18.28 401
1 44 "Sem1" "F" "A Level or Equivalent" 3 28 1 120 "Y" 50.3 16.71 2184
0 24 "Sem1" "F" "HE Qualification" 5 26 0 60 "N" 44.825 17.36 1542
1 56 "Sem1" "M" "A Level or Equivalent" 5 24 0 60 "N" 56.075 20 2290
1 51 "Sem1" "M" "Post Graduate Qualification" 1 26 0 60 "N" 41.125 16.56 2257
1 51 "Sem1" "F" "HE Qualification" 5 28 0 80 "N" 60.525 22.63 3718
0 27 "Sem1" "F" "Lower Than A Level" 5 27 1 160 "N" 32.2 12.42 1855
1 69 "Sem1" "F" "A Level or Equivalent" 11 34 0 60 "Y" 49.6 17.45 952
1 80 "Sem1" "M" "HE Qualification" 5 31 0 60 "N" 52.925 22.16 3787
0 20 "Sem1" "F" "HE Qualification" 6 25 0 60 "N" 0 14.74 681
1 40 "Sem1" "M" "A Level or Equivalent" 6 26 1 120 "N" 58.375 12.76 895
1 73 "Sem1" "M" "Lower Than A Level" 9 33 0 60 "N" 56.7 22.16 1312
1 56 "Sem1" "F" "HE Qualification" 4 28 0 60 "N" 45.8 10.52 1477
1 56 "Sem1" "M" "HE Qualification" 10 29 0 60 "N" 55.95 17.82 1370
1 53 "Sem1" "M" "A Level or Equivalent" 5 27 0 60 "N" 49.55 15.56 1359
1 64 "Sem1" "M" "HE Qualification" 6 36 1 60 "N" 60.475 21.78 1494
1 78 "Sem1" "M" "A Level or Equivalent" 3 32 0 60 "N" 58.55 22.15 1452
1 51 "Sem1" "F" "A Level or Equivalent" 3 25 0 60 "N" 57.15 19.39 2234
1 49 "Sem1" "F" "A Level or Equivalent" 4 27 0 60 "N" 58.275 19.78 1349
1 58 "Sem1" "M" "HE Qualification" 3 41 0 120 "N" 58.85 16.01 3796
1 58 "Sem1" "F" "Lower Than A Level" 5 41 0 60 "N" 45.5 11.51 1565
1 49 "Sem1" "F" "A Level or Equivalent" 8 24 4 120 "N" 33.725 10.94 842
1 73 "Sem1" "F" "Lower Than A Level" 2 33 0 60 "N" 71.075 23.8 2728
1 44 "Sem1" "F" "A Level or Equivalent" 10 26 0 60 "N" 39.525 12.36 1312
1 73 "Sem1" "F" "Lower Than A Level" 1 33 0 60 "Y" 42.475 22.95 367
0 20 "Sem1" "M" "A Level or Equivalent" 8 23 0 60 "N" 37.65 9.12 1214
1 42 "Sem1" "F" "Lower Than A Level" 3 20 1 120 "N" 53.775 18.3 2234
1 58 "Sem1" "F" "A Level or Equivalent" 10 41 0 60 "N" 44.975 13.86 796
1 60 "Sem1" "M" "HE Qualification" 8 38 0 180 "N" 28.1 15.75 143
0 40 "Sem1" "F" "Lower Than A Level" 10 26 3 130 "N" 31.5 19.06 723
1 47 "Sem1" "M" "Lower Than A Level" 4 25 0 120 "N" 35.25 12.66 1088
1 51 "Sem1" "F" "A Level or Equivalent" 6 27 1 280 "N" 33.75 10.41 2482
1 91 "Sem1" "F" "A Level or Equivalent" 4 30 1 60 "N" 59.4 20.06 704
1 49 "Sem1" "F" "A Level or Equivalent" 10 28 0 60 "Y" 0 15.6 1054
1 76 "Sem1" "M" "A Level or Equivalent" 11 32 0 90 "Y" 48.9 16.62 439
1 87 "Sem1" "M" "HE Qualification" 4 30 0 60 "N" 42.025 14.05 954
1 64 "Sem1" "M" "A Level or Equivalent" 4 36 3 120 "N" 46.925 16.09 1300
1 60 "Sem1" "M" "Lower Than A Level" 6 38 1 120 "Y" 52.1 18.97 1745
1 47 "Sem1" "F" "Lower Than A Level" 4 24 0 60 "N" 53.35 20 939
1 60 "Sem1" "M" "Lower Than A Level" 7 38 2 180 "Y" 52.65 15.4 912
1 62 "Sem1" "M" "Post Graduate Qualification" 1 37 1 120 "N" 60.275 21.07 652
1 69 "Sem1" "F" "HE Qualification" 11 34 0 60 "N" 62.475 20.51 1726
0 29 "Sem1" "F" "Lower Than A Level" 10 25 2 60 "N" 33.775 14.67 2736
1 73 "Sem1" "F" "Lower Than A Level" 6 33 0 120 "N" 55.25 15.11 1162
1 42 "Sem1" "F" "A Level or Equivalent" 8 28 0 60 "N" 54.025 18.35 2766
1 64 "Sem1" "F" "A Level or Equivalent" 9 36 1 200 "Y" 61.325 22.14 540
1 49 "Sem1" "F" "A Level or Equivalent" 10 27 0 60 "N" 57.975 16.27 3135
1 71 "Sem1" "F" "A Level or Equivalent" 6 34 0 60 "N" 67.8 23.76 3201
0 24 "Sem1" "M" "A Level or Equivalent" 7 25 0 60 "N" 35.9 13.74 2033
1 56 "Sem1" "M" "A Level or Equivalent" 6 26 0 110 "N" 65.275 21.54 4171
1 49 "Sem1" "M" "Lower Than A Level" 3 27 0 60 "N" 47.65 10.16 578
1 71 "Sem1" "F" "A Level or Equivalent" 1 34 0 60 "N" 58.4 21.68 2330
1 69 "Sem1" "M" "A Level or Equivalent" 9 34 0 60 "N" 60.425 20.83 1950
1 91 "Sem1" "F" "A Level or Equivalent" 10 30 2 180 "Y" 72.025 24.08 1526
1 53 "Sem1" "F" "A Level or Equivalent" 8 27 0 120 "N" 30.125 11.85 561
1 40 "Sem1" "F" "HE Qualification" 11 27 0 60 "N" 57.675 15.16 1271
0 33 "Sem1" "M" "No Formal quals" 5 26 0 60 "N" 36.575 9.62 1841
1 38 "Sem1" "M" "A Level or Equivalent" 8 26 0 180 "N" 32.5 10.08 378
1 42 "Sem1" "M" "A Level or Equivalent" 4 22 0 60 "N" 29.65 10.59 1203
1 53 "Sem1" "M" "A Level or Equivalent" 6 23 1 60 "N" 42.175 7.35 1625
1 40 "Sem1" "F" "Lower Than A Level" 5 27 1 60 "Y" 56.275 19.81 588
1 42 "Sem1" "M" "A Level or Equivalent" 2 27 2 90 "N" 33.05 10.51 854
1 78 "Sem1" "M" "HE Qualification" 5 32 0 60 "N" 69.675 24.05 5809
1 69 "Sem1" "F" "A Level or Equivalent" 10 34 0 70 "N" 46.425 13.66 1272
1 71 "Sem1" "M" "Lower Than A Level" 6 34 0 60 "N" 60.225 17.27 781
1 58 "Sem1" "M" "HE Qualification" 6 41 0 120 "Y" 39.75 8.46 767
1 82 "Sem1" "F" "Lower Than A Level" 7 31 0 60 "N" 65.35 23.23 2643
1 73 "Sem1" "F" "A Level or Equivalent" 3 33 0 60 "Y" 59.45 17.52 935
1 62 "Sem1" "M" "Lower Than A Level" 4 37 0 70 "N" 57.125 19.93 3185
1 58 "Sem1" "F" "HE Qualification" 11 41 0 90 "N" 59.325 22.78 2330
0 13 "Sem1" "F" "Lower Than A Level" 2 25 0 90 "N" 32.825 14.74 404
1 53 "Sem1" "F" "Lower Than A Level" 9 28 1 70 "N" 38.275 14.06 756
1 53 "Sem1" "M" "No Formal quals" 4 27 1 120 "N" 47.9 11.49 1722
1 38 "Sem1" "M" "Lower Than A Level" 11 28 2 120 "N" 50.525 11.1 1338
1 73 "Sem1" "M" "Lower Than A Level" 6 33 0 60 "N" 70.95 23.15 3324
1 60 "Sem1" "M" "HE Qualification" 5 38 1 120 "N" 57.1 21.57 1415
1 40 "Sem1" "F" "A Level or Equivalent" 5 27 0 90 "N" 46.3 19.52 1469
1 47 "Sem1" "M" "A Level or Equivalent" 7 27 2 60 "N" 22.125 19.78 224
1 69 "Sem1" "M" "A Level or Equivalent" 10 34 0 60 "N" 66.25 21.48 2865
1 60 "Sem1" "F" "HE Qualification" 10 38 0 60 "N" 67.65 21.67 6834
1 49 "Sem1" "M" "Lower Than A Level" 1 25 0 70 "N" 33.175 12.14 2039
1 67 "Sem1" "M" "HE Qualification" 9 35 1 60 "N" 50.4 20.31 667
0 42 "Sem1" "F" "HE Qualification" 5 26 2 120 "N" 39.95 12.8 464
1 82 "Sem1" "F" "HE Qualification" 7 31 0 60 "N" 69.925 24.34 6180
1 64 "Sem1" "F" "HE Qualification" 11 36 0 60 "N" 58.425 15.46 1713
1 64 "Sem1" "F" "HE Qualification" 4 36 0 60 "N" 60.55 21.08 1332
1 47 "Sem1" "M" "A Level or Equivalent" 4 25 2 60 "N" 37.9 8.27 567
1 56 "Sem1" "F" "A Level or Equivalent" 6 26 0 60 "N" 56.425 18.57 2019
0 24 "Sem1" "F" "A Level or Equivalent" 11 27 2 120 "N" 42.625 14.68 1375
1 73 "Sem1" "M" "A Level or Equivalent" 11 33 2 60 "N" 44.35 21.23 1292
1 64 "Sem1" "M" "Lower Than A Level" 11 36 0 90 "N" 50.45 17.7 931
1 47 "Sem1" "F" "A Level or Equivalent" 6 25 1 120 "Y" 37.45 19.39 1015
1 62 "Sem1" "F" "A Level or Equivalent" 9 37 0 60 "N" 59.375 21.77 2006
1 64 "Sem1" "M" "A Level or Equivalent" 5 36 0 60 "N" 55.875 15.37 2086
1 42 "Sem1" "F" "A Level or Equivalent" 2 26 0 60 "N" 53.3 20.13 472
1 60 "Sem1" "M" "HE Qualification" 7 38 0 90 "N" 41.275 14.27 276
0 33 "Sem1" "M" "Lower Than A Level" 5 27 1 120 "N" 33.625 13.14 1199
1 51 "Sem1" "F" "A Level or Equivalent" 8 28 0 60 "N" 45.75 15.39 1178
0 18 "Sem1" "M" "A Level or Equivalent" 10 26 0 90 "N" 40.575 7.67 563
1 47 "Sem1" "F" "HE Qualification" 6 27 0 70 "N" 55.925 18.63 6136
1 42 "Sem1" "F" "A Level or Equivalent" 10 27 0 60 "N" 35.875 17.89 1112
1 64 "Sem1" "M" "A Level or Equivalent" 6 36 0 60 "N" 68.175 20.96 1233
1 91 "Sem1" "M" "Lower Than A Level" 10 30 0 60 "N" 65.775 15.7 846
1 64 "Sem1" "M" "A Level or Equivalent" 2 36 1 180 "N" 61.85 17.24 1023
1 64 "Sem1" "F" "HE Qualification" 11 36 0 60 "N" 54.075 16.76 514
1 56 "Sem1" "F" "HE Qualification" 10 20 1 150 "N" 48.975 19.35 2848
1 82 "Sem1" "M" "HE Qualification" 7 31 0 60 "N" 66.7 22.77 2946
1 82 "Sem1" "M" "A Level or Equivalent" 8 31 0 90 "N" 58.65 21.56 3382
0 29 "Sem1" "M" "Lower Than A Level" 10 25 0 90 "N" 42.775 5.06 1759
1 42 "Sem1" "M" "Lower Than A Level" 4 28 0 60 "N" 49.15 15.74 1414
0 27 "Sem1" "F" "HE Qualification" 4 28 1 60 "N" 43.775 13.3 2801
1 36 "Sem1" "M" "HE Qualification" 9 28 0 60 "N" 54.125 18.36 8551
1 64 "Sem1" "M" "Lower Than A Level" 7 36 0 60 "N" 45.05 15.39 1936
1 60 "Sem1" "F" "HE Qualification" 3 38 0 60 "N" 53.95 18.15 2543
1 49 "Sem1" "F" "HE Qualification" 3 24 1 120 "N" 35.575 9.09 1446
0 36 "Sem1" "M" "Lower Than A Level" 3 26 0 60 "N" 30.075 12.59 1180
1 91 "Sem1" "M" "A Level or Equivalent" 3 30 0 60 "N" 68.1 23.22 1137
1 69 "Sem1" "F" "HE Qualification" 2 34 0 60 "N" 51.775 16.34 595
1 78 "Sem1" "F" "HE Qualification" 6 32 0 60 "N" 67.3 22.67 1979
1 47 "Sem1" "F" "HE Qualification" 5 25 0 120 "N" 35.45 11.02 726
1 73 "Sem1" "M" "A Level or Equivalent" 6 33 0 60 "N" 42.05 13.85 2072
1 38 "Sem1" "M" "Lower Than A Level" 4 22 2 120 "N" 40.1 16.67 3744
1 78 "Sem1" "M" "HE Qualification" 8 32 0 155 "N" 64.5 22.21 1700
1 69 "Sem1" "F" "A Level or Equivalent" 7 34 0 60 "N" 61.775 12.5 1674
1 71 "Sem1" "M" "Post Graduate Qualification" 1 34 0 60 "N" 64.775 19.1 2300
1 40 "Sem1" "F" "A Level or Equivalent" 5 27 0 60 "Y" 57.175 17.21 623
0 33 "Sem1" "M" "HE Qualification" 3 27 0 60 "N" 59.075 12.36 1334
1 58 "Sem1" "M" "HE Qualification" 7 41 0 60 "N" 68.45 23.14 1660
0 53 "Sem1" "F" "Lower Than A Level" 4 23 0 60 "N" 64.125 17.34 788
1 67 "Sem1" "M" "Lower Than A Level" 7 35 0 60 "Y" 46.2 18.88 1111
1 49 "Sem1" "M" "HE Qualification" 2 25 0 120 "N" 63.6 20.58 1483
1 69 "Sem1" "M" "HE Qualification" 9 34 0 60 "N" 51.7 16.73 1180
1 49 "Sem1" "M" "HE Qualification" 7 27 0 130 "N" 58.175 23.51 2245
0 31 "Sem1" "F" "A Level or Equivalent" 11 26 0 60 "N" 60.075 13.06 2213
1 56 "Sem1" "M" "HE Qualification" 4 28 0 60 "N" 57.275 13.06 1118
0 29 "Sem1" "M" "HE Qualification" 8 27 0 60 "N" 51.1 13.49 3648
0 33 "Sem1" "F" "A Level or Equivalent" 9 28 0 60 "N" 46.7 12.98 1936
0 36 "Sem1" "M" "A Level or Equivalent" 3 27 0 60 "N" 38.625 15.52 1891
1 38 "Sem1" "F" "A Level or Equivalent" 4 26 0 60 "Y" 54.85 20.26 1002
1 87 "Sem1" "M" "A Level or Equivalent" 4 30 0 70 "N" 62.925 23.43 714
1 67 "Sem1" "M" "Lower Than A Level" 11 35 0 60 "N" 54.1 22.92 2251
1 60 "Sem1" "F" "A Level or Equivalent" 7 38 0 60 "N" 45.775 19.1 946
1 38 "Sem1" "F" "A Level or Equivalent" 6 23 2 250 "N" 46.475 16.12 2014
1 78 "Sem1" "F" "A Level or Equivalent" 9 32 0 60 "N" 70.825 23.2 1125
1 44 "Sem1" "F" "Lower Than A Level" 7 23 2 150 "N" 36.275 17.37 829
1 78 "Sem1" "F" "A Level or Equivalent" 11 32 0 60 "N" 62.5 19.66 3948
1 69 "Sem1" "M" "HE Qualification" 5 34 1 150 "N" 66.55 19.61 1019
1 51 "Sem1" "F" "A Level or Equivalent" 9 28 0 80 "N" 61.8 22.6 2231
1 82 "Sem1" "F" "HE Qualification" 11 31 1 60 "N" 45.425 13.22 628
1 56 "Sem1" "M" "Lower Than A Level" 11 25 3 120 "N" 29.025 11.44 479
1 78 "Sem1" "F" "Lower Than A Level" 8 32 0 60 "N" 58.325 21 963
1 56 "Sem1" "M" "A Level or Equivalent" 5 29 0 60 "N" 46.275 16.52 724
1 60 "Sem1" "M" "A Level or Equivalent" 9 38 0 60 "N" 27.825 15.62 4071
1 64 "Sem1" "M" "Lower Than A Level" 8 36 0 120 "N" 59.175 21.07 1443
1 38 "Sem1" "F" "Lower Than A Level" 8 28 0 60 "Y" 30.8 13.94 1514
1 58 "Sem1" "F" "A Level or Equivalent" 8 41 0 60 "N" 45.125 12.33 1355
0 38 "Sem1" "M" "A Level or Equivalent" 11 23 0 60 "N" 41.625 11.11 1083
1 38 "Sem1" "M" "A Level or Equivalent" 2 28 0 120 "N" 43.225 13.59 1212
1 49 "Sem1" "M" "Lower Than A Level" 10 25 1 60 "N" 64.85 22.13 3842
0 31 "Sem1" "F" "Lower Than A Level" 8 28 0 60 "N" 30.3 13.4 585
1 53 "Sem1" "F" "A Level or Equivalent" 2 28 1 120 "Y" 48.575 16.33 1277
1 56 "Sem1" "F" "A Level or Equivalent" 5 27 0 60 "N" 53.95 16.35 2152
1 64 "Sem1" "F" "A Level or Equivalent" 8 36 1 60 "N" 40.05 18.17 1119
1 62 "Sem1" "M" "A Level or Equivalent" 8 37 1 130 "N" 61.975 23.73 4177
1 64 "Sem1" "M" "A Level or Equivalent" 9 36 0 80 "N" 66.325 23.12 2784
0 38 "Sem1" "M" "Lower Than A Level" 5 28 1 60 "N" 40.375 13.57 1608
1 60 "Sem1" "M" "HE Qualification" 5 38 0 60 "N" 45.675 15.4 1192
1 56 "Sem1" "M" "Lower Than A Level" 11 25 0 75 "N" 36.125 12.85 1123
1 53 "Sem1" "M" "HE Qualification" 8 28 0 60 "N" 43.2 10.12 2134
1 51 "Sem1" "M" "Lower Than A Level" 9 27 0 60 "N" 58.875 21.59 2191
1 76 "Sem1" "M" "Lower Than A Level" 7 32 0 60 "N" 65.9 20.96 1225
1 51 "Sem1" "F" "A Level or Equivalent" 10 28 0 60 "N" 61.3 21.66 1825
1 60 "Sem1" "F" "HE Qualification" 8 38 0 60 "N" 56.7 18.57 1969
0 47 "Sem1" "F" "Lower Than A Level" 8 28 0 60 "N" 35.9 21.59 1919
1 51 "Sem1" "M" "Lower Than A Level" 5 24 0 60 "N" 42.1 16.19 2264
1 44 "Sem1" "F" "Lower Than A Level" 10 23 0 60 "N" 58.775 16.79 2581
1 60 "Sem1" "M" "A Level or Equivalent" 7 38 0 60 "N" 53.7 19.3 910
1 47 "Sem1" "M" "A Level or Equivalent" 10 28 0 120 "N" 29.825 12.85 636
1 62 "Sem1" "M" "HE Qualification" 4 37 1 120 "N" 64.575 19.31 921
1 40 "Sem1" "M" "HE Qualification" 8 25 1 60 "N" 41.8 13.48 1048
1 49 "Sem1" "M" "HE Qualification" 11 27 0 60 "N" 48.325 18.88 1220
1 58 "Sem1" "M" "A Level or Equivalent" 9 41 0 120 "N" 38.375 16.29 1586
1 58 "Sem1" "M" "Lower Than A Level" 9 41 0 60 "Y" 31.825 14.27 1393
1 56 "Sem1" "F" "Lower Than A Level" 5 28 0 60 "Y" 55.175 13.99 1644
1 82 "Sem1" "M" "A Level or Equivalent" 2 31 1 60 "N" 67.125 22.69 2441
1 82 "Sem1" "M" "HE Qualification" 9 31 0 90 "N" 60.825 22.23 2387
0 33 "Sem1" "F" "Lower Than A Level" 11 27 0 60 "N" 42.65 14.17 1111
1 36 "Sem1" "M" "A Level or Equivalent" 6 27 0 60 "N" 47.5 15.23 688
1 42 "Sem1" "F" "Lower Than A Level" 10 24 1 210 "N" 36.225 11.25 1428
1 60 "Sem1" "F" "A Level or Equivalent" 5 38 0 190 "N" 66.55 22.66 3273
1 78 "Sem1" "M" "A Level or Equivalent" 9 32 1 90 "N" 25.975 19.67 1040
1 58 "Sem1" "M" "A Level or Equivalent" 5 41 0 60 "N" 47.4 14.78 594
0 38 "Sem1" "M" "A Level or Equivalent" 11 25 0 60 "N" 35.35 10.15 1628
1 78 "Sem1" "M" "Lower Than A Level" 2 32 0 120 "N" 64.775 22.81 2716
1 42 "Sem1" "M" "Lower Than A Level" 8 28 1 180 "N" 41.125 6.25 845
1 76 "Sem1" "F" "Lower Than A Level" 2 32 0 120 "N" 54.125 17.74 2244
1 62 "Sem1" "M" "A Level or Equivalent" 8 37 0 60 "N" 27.85 12.22 747
0 40 "Sem1" "M" "Lower Than A Level" 6 17 1 240 "Y" 35.175 12.87 1636
1 53 "Sem1" "M" "Lower Than A Level" 11 28 0 60 "N" 56.275 16.4 2318
1 40 "Sem1" "F" "Lower Than A Level" 8 27 1 120 "N" 56.65 19.81 2879
1 42 "Sem1" "M" "A Level or Equivalent" 6 25 1 150 "N" 33.225 10.15 1024
1 64 "Sem1" "M" "HE Qualification" 9 36 1 120 "N" 60.9 21.1 1732
1 40 "Sem1" "M" "A Level or Equivalent" 9 25 0 120 "N" 49.975 8.02 2607
1 42 "Sem1" "F" "A Level or Equivalent" 3 26 0 60 "N" 53.95 13.87 1038
1 96 "Sem1" "M" "HE Qualification" 10 29 1 240 "N" 72.475 24.32 1668
1 73 "Sem1" "M" "A Level or Equivalent" 7 33 0 60 "N" 63.35 22.73 346
1 87 "Sem1" "M" "HE Qualification" 9 30 0 90 "N" 67.2 23.56 3643
1 56 "Sem1" "M" "A Level or Equivalent" 11 23 0 60 "Y" 48.475 8.26 635
1 62 "Sem1" "M" "Post Graduate Qualification" 11 37 0 70 "N" 55.825 23.46 2758
1 53 "Sem1" "M" "Post Graduate Qualification" 1 25 0 120 "N" 56.975 18.7 997
1 73 "Sem1" "M" "HE Qualification" 4 33 0 60 "N" 61 23.38 3116
1 51 "Sem1" "M" "A Level or Equivalent" 5 28 1 120 "Y" 62.2 21.15 2678
0 38 "Sem1" "F" "Lower Than A Level" 3 28 1 120 "N" 31.225 9.95 2518
1 78 "Sem1" "M" "HE Qualification" 8 32 0 60 "N" 67.7 23.71 1822
1 60 "Sem1" "F" "A Level or Equivalent" 3 38 0 60 "N" 58.225 21.54 2854
1 80 "Sem1" "F" "A Level or Equivalent" 1 31 0 120 "N" 54.75 20.6 2052
1 73 "Sem1" "F" "HE Qualification" 1 33 0 60 "N" 60.975 20.44 1556
1 82 "Sem1" "F" "A Level or Equivalent" 8 31 1 120 "N" 67.525 20.52 1548
1 31 "Sem1" "M" "A Level or Equivalent" 3 26 1 180 "N" 47.95 15.26 814
